word_1,def_1-1,def_1-2,def_1-3,def_1-4,def_1-5,def_1-6,def_1-7,word_2,def_2-1,def_2-2,def_2-3,def_2-4,def_2-5,def_2-6,def_2-7
human,"<crowd-radio-button name="def_1-0" value="def_1-0">any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">characteristic of humanity</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">relating to a person</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">having human form or attributes as opposed to those of animals or divine beings</crowd-radio-button>",o,o,o,chair,"<crowd-radio-button name="def_2-0" value="def_2-0">a seat for one person, with a support for the back</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the position of professor</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">the officer who presides at the meetings of an organization</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">an instrument of execution by electrocution; resembles an ordinary seat for one person</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">a particular seat in an orchestra</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">act or preside as chair, as of an academic department in a university</crowd-radio-button>","<crowd-radio-button name="def_2-6" value="def_2-6">preside over</crowd-radio-button>"
crunch,"<crowd-radio-button name="def_1-0" value="def_1-0">the sound of something crunching</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a critical situation that arises because of a shortage (as a shortage of time or money or resources)</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">the act of crushing</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">make a crushing noise</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">press or grind with a crushing noise</crowd-radio-button>","<crowd-radio-button name="def_1-5" value="def_1-5">chew noisily</crowd-radio-button>","<crowd-radio-button name="def_1-6" value="def_1-6">reduce to small pieces or particles by pounding or abrading</crowd-radio-button>",situation,"<crowd-radio-button name="def_2-0" value="def_2-0">the general state of things; the combination of circumstances at a given time; ; ; - Franklin D.Roosevelt</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a condition or position in which you find yourself</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a complex or critical or unusual difficulty</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">physical position in relation to the surroundings</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">a job in an organization</crowd-radio-button>",o,o
competent,"<crowd-radio-button name="def_1-0" value="def_1-0">properly or sufficiently qualified or capable or efficient</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">adequate for the purpose</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">legally qualified or sufficient</crowd-radio-button>",o,o,o,o,qualifications,"<crowd-radio-button name="def_2-0" value="def_2-0">an attribute that must be met or complied with and that fits a person for something</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the act of modifying or changing the strength of some idea</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a statement that limits or restricts some claim</crowd-radio-button>",o,o,o,o
dismantling,"<crowd-radio-button name="def_1-0" value="def_1-0">the act of taking something apart (as a piece of machinery)</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">tear down so as to make flat with the ground</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">take apart into its constituent pieces</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">take off or remove</crowd-radio-button>",o,o,o,dismantle,"<crowd-radio-button name="def_2-0" value="def_2-0">tear down so as to make flat with the ground</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">take apart into its constituent pieces</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">take off or remove</crowd-radio-button>",o,o,o,o
harried,"<crowd-radio-button name="def_1-0" value="def_1-0">annoy continually or chronically</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">make a pillaging or destructive raid on (a place), as in wartimes</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">troubled persistently especially with petty annoyances</crowd-radio-button>",o,o,o,o,preoccupied,"<crowd-radio-button name="def_2-0" value="def_2-0">engage or engross the interest or attention of beforehand or occupy urgently or obsessively</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">occupy or take possession of beforehand or before another or appropriate for use in advance</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">deeply absorbed in thought</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">having or showing excessive or compulsive concern with something</crowd-radio-button>",o,o,o
danger,"<crowd-radio-button name="def_1-0" value="def_1-0">the condition of being susceptible to harm or injury</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a venture undertaken without regard to possible loss or injury</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">a cause of pain or injury or loss</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">a dangerous place</crowd-radio-button>",o,o,o,situation,"<crowd-radio-button name="def_2-0" value="def_2-0">the general state of things; the combination of circumstances at a given time; ; ; - Franklin D.Roosevelt</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a condition or position in which you find yourself</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a complex or critical or unusual difficulty</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">physical position in relation to the surroundings</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">a job in an organization</crowd-radio-button>",o,o
prosody,"<crowd-radio-button name="def_1-0" value="def_1-0">the patterns of stress and intonation in a language</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">(prosody) a system of versification</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">the study of poetic meter and the art of versification</crowd-radio-button>",o,o,o,o,poetic,"<crowd-radio-button name="def_2-0" value="def_2-0">of or relating to poetry</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">characterized by romantic imagery</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">of or relating to poets</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">characteristic of or befitting poetry</crowd-radio-button>",o,o,o
parentage,"<crowd-radio-button name="def_1-0" value="def_1-0">the state of being a parent</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">the kinship relation of an offspring to the parents</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">the descendants of one individual</crowd-radio-button>",o,o,o,o,lineage,"<crowd-radio-button name="def_2-0" value="def_2-0">the descendants of one individual</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the kinship relation between an individual and the individual's progenitors</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">the number of lines in a piece of printed material</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">a rate of payment for written material that is measured according to the number of lines submitted</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">inherited properties shared with others of your bloodline</crowd-radio-button>",o,o
trivial,"<crowd-radio-button name="def_1-0" value="def_1-0">(informal) small and of little importance</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">of little substance or significance</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">concerned with trivialities</crowd-radio-button>",o,o,o,o,insignificant,"<crowd-radio-button name="def_2-0" value="def_2-0">not worthy of notice</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">signifying nothing</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">of little importance or influence or power; of minor status</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">devoid of importance, meaning, or force</crowd-radio-button>",o,o,o
winkled,"<crowd-radio-button name="def_1-0" value="def_1-0">emit or reflect light in a flickering manner</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">gleam or glow intermittently</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">remove or displace from a position</crowd-radio-button>",o,o,o,o,winkle,"<crowd-radio-button name="def_2-0" value="def_2-0">small edible marine snail; steamed in wine or baked</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">edible marine gastropod</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">emit or reflect light in a flickering manner</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">gleam or glow intermittently</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">remove or displace from a position</crowd-radio-button>",o,o
comfortable,"<crowd-radio-button name="def_1-0" value="def_1-0">providing or experiencing physical well-being or relief (`comfy' is informal)</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">free from stress or conducive to mental ease; having or affording peace of mind</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">more than adequate</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">sufficient to provide comfort</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">in fortunate circumstances financially; moderately rich</crowd-radio-button>",o,o,comforting,"<crowd-radio-button name="def_2-0" value="def_2-0">give moral or emotional strength to</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">lessen pain or discomfort; alleviate</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">providing freedom from worry</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">affording comfort or solace</crowd-radio-button>",o,o,o
scissors,"<crowd-radio-button name="def_1-0" value="def_1-0">an edge tool having two crossed pivoting blades</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a wrestling hold in which you wrap your legs around the opponents body or head and put your feet together and squeeze</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">a gymnastic exercise performed on the pommel horse when the gymnast moves his legs as the blades of scissors move</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">cut with or as if with scissors</crowd-radio-button>",o,o,o,metal,"<crowd-radio-button name="def_2-0" value="def_2-0">any of several chemical elements that are usually shiny solids that conduct heat or electricity and can be formed into sheets etc.</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">cover with metal</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">containing or made of or resembling or characteristic of a metal; ; ; - Ambrose Bierce</crowd-radio-button>",o,o,o
muddy,"<crowd-radio-button name="def_1-0" value="def_1-0">dirty with mud</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">cause to become muddy</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">make turbid</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">(of soil) soft and watery</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">dirty and messy; covered with mud or muck</crowd-radio-button>","<crowd-radio-button name="def_1-5" value="def_1-5">(of color) discolored by impurities; not bright and clear;  is often used in combination</crowd-radio-button>","<crowd-radio-button name="def_1-6" value="def_1-6">(of liquids) clouded as with sediment</crowd-radio-button>",muddle,"<crowd-radio-button name="def_2-0" value="def_2-0">a confused multitude of things</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">informal terms for a difficult situation</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">make into a puddle</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">mix up or confuse</crowd-radio-button>",o,o,o
convoluted,"<crowd-radio-button name="def_1-0" value="def_1-0">curl, wind, or twist together</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">practice sophistry; change the meaning of or be vague about in order to mislead or deceive</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">rolled longitudinally upon itself</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">highly complex or intricate and occasionally devious; ; ; ; ; ; ; ; - Sir Walter Scott</crowd-radio-button>",o,o,o,complicated,"<crowd-radio-button name="def_2-0" value="def_2-0">make more complicated</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">make more complex, intricate, or richer</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">difficult to analyze or understand</crowd-radio-button>",o,o,o,o
lame,"<crowd-radio-button name="def_1-0" value="def_1-0">someone who doesn't understand what is going on</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a fabric interwoven with threads of metal</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">deprive of the use of a limb, especially a leg</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">pathetically lacking in force or effectiveness</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">disabled in the feet or legs</crowd-radio-button>",o,o,hobbling,"<crowd-radio-button name="def_2-0" value="def_2-0">walk impeded by some physical limitation or injury</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">hamper the action or progress of</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">strap the foreleg and hind leg together on each side (of a horse) in order to keep the legs on the same side moving in unison</crowd-radio-button>",o,o,o,o
phoenix,"<crowd-radio-button name="def_1-0" value="def_1-0">the state capital and largest city located in south central Arizona; situated in a former desert that has become a prosperous agricultural area thanks to irrigation</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a large monocotyledonous genus of pinnate-leaved palms found in Asia and Africa</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">a legendary Arabian bird said to periodically burn itself to death and emerge from the ashes as a new phoenix; according to most versions only one phoenix lived at a time and it renewed itself every 500 years</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">a constellation in the southern hemisphere near Tucana and Sculptor</crowd-radio-button>",o,o,o,egyptian,"<crowd-radio-button name="def_2-0" value="def_2-0">a native or inhabitant of Egypt</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the ancient and now extinct language of Egypt under the Pharaohs; written records date back to 3000 BC</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">of or relating to or characteristic of Egypt or its people or their language</crowd-radio-button>",o,o,o,o
resounding,"<crowd-radio-button name="def_1-0" value="def_1-0">ring or echo with sound</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">emit a noise</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">characterized by resonance</crowd-radio-button>",o,o,o,o,emphatic,"<crowd-radio-button name="def_2-0" value="def_2-0">spoken with emphasis</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">sudden and strong</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">forceful and definite in expression or action</crowd-radio-button>",o,o,o,o
