word_1,def_1-1,qual_1-1_start,qual_1-1_end,def_1-2,qual_1-2_start,qual_1-2_end,def_1-3,qual_1-3_start,qual_1-3_end,def_1-4,qual_1-4_start,qual_1-4_end,def_1-5,qual_1-5_start,qual_1-5_end,def_1-6,qual_1-6_start,qual_1-6_end,def_1-7,qual_1-7_start,qual_1-7_end,word_2,def_2-1,qual_2-1_start,qual_2-1_end,def_2-2,qual_2-2_start,qual_2-2_end,def_2-3,qual_2-3_start,qual_2-3_end,def_2-4,qual_2-4_start,qual_2-4_end,def_2-5,qual_2-5_start,qual_2-5_end,def_2-6,qual_2-6_start,qual_2-6_end,def_2-7,qual_2-7_start,qual_2-7_end,relationship
human,"any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage",,,"characteristic of humanity",,,"relating to a person",,,"having human form or attributes as opposed to those of animals or divine beings",,,,<!--,-->,,<!--,-->,,<!--,-->,chair,"a seat for one person, with a support for the back",,,"the position of professor",,,"the officer who presides at the meetings of an organization",,,"an instrument of execution by electrocution; resembles an ordinary seat for one person",,,"a particular seat in an orchestra",,,"act or preside as chair, as of an academic department in a university",,,"preside over",,,AtLocation
crunch,"the sound of something crunching",,,"a critical situation that arises because of a shortage (as a shortage of time or money or resources)",,,"the act of crushing",,,"make a crushing noise",,,"press or grind with a crushing noise",,,"chew noisily",,,"reduce to small pieces or particles by pounding or abrading",,,situation,"the general state of things; the combination of circumstances at a given time; ; ; - Franklin D.Roosevelt",,,"a condition or position in which you find yourself",,,"a complex or critical or unusual difficulty",,,"physical position in relation to the surroundings",,,"a job in an organization",,,,<!--,-->,,<!--,-->,IsA
competent,"properly or sufficiently qualified or capable or efficient",,,"adequate for the purpose",,,"legally qualified or sufficient",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,qualifications,"an attribute that must be met or complied with and that fits a person for something",,,"the act of modifying or changing the strength of some idea",,,"a statement that limits or restricts some claim",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
dismantling,"the act of taking something apart (as a piece of machinery)",,,"tear down so as to make flat with the ground",,,"take apart into its constituent pieces",,,"take off or remove",,,,<!--,-->,,<!--,-->,,<!--,-->,dismantle,"tear down so as to make flat with the ground",,,"take apart into its constituent pieces",,,"take off or remove",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,FormOf
harried,"annoy continually or chronically",,,"make a pillaging or destructive raid on (a place), as in wartimes",,,"troubled persistently especially with petty annoyances",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,preoccupied,"engage or engross the interest or attention of beforehand or occupy urgently or obsessively",,,"occupy or take possession of beforehand or before another or appropriate for use in advance",,,"deeply absorbed in thought",,,"having or showing excessive or compulsive concern with something",,,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
danger,"the condition of being susceptible to harm or injury",,,"a venture undertaken without regard to possible loss or injury",,,"a cause of pain or injury or loss",,,"a dangerous place",,,,<!--,-->,,<!--,-->,,<!--,-->,situation,"the general state of things; the combination of circumstances at a given time; ; ; - Franklin D.Roosevelt",,,"a condition or position in which you find yourself",,,"a complex or critical or unusual difficulty",,,"physical position in relation to the surroundings",,,"a job in an organization",,,,<!--,-->,,<!--,-->,RelatedTo
prosody,"the patterns of stress and intonation in a language",,,"(prosody) a system of versification",,,"the study of poetic meter and the art of versification",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,poetic,"of or relating to poetry",,,"characterized by romantic imagery",,,"of or relating to poets",,,"characteristic of or befitting poetry",,,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
parentage,"the state of being a parent",,,"the kinship relation of an offspring to the parents",,,"the descendants of one individual",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,lineage,"the descendants of one individual",,,"the kinship relation between an individual and the individual's progenitors",,,"the number of lines in a piece of printed material",,,"a rate of payment for written material that is measured according to the number of lines submitted",,,"inherited properties shared with others of your bloodline",,,,<!--,-->,,<!--,-->,Synonym
trivial,"(informal) small and of little importance",,,"of little substance or significance",,,"concerned with trivialities",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,insignificant,"not worthy of notice",,,"signifying nothing",,,"of little importance or influence or power; of minor status",,,"devoid of importance, meaning, or force",,,,<!--,-->,,<!--,-->,,<!--,-->,Synonym
winkled,"emit or reflect light in a flickering manner",,,"gleam or glow intermittently",,,"remove or displace from a position",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,winkle,"small edible marine snail; steamed in wine or baked",,,"edible marine gastropod",,,"emit or reflect light in a flickering manner",,,"gleam or glow intermittently",,,"remove or displace from a position",,,,<!--,-->,,<!--,-->,FormOf
